order_id,order_date,customer_name,product,category,quantity,unit_price,region,total_amount
ORD0048,2025-05-16,Vikram,Desk,Furniture,7,203.76,South,1426.32
ORD0050,2025-10-03,Rahul,Mouse,Electronics,4,25.03,North,100.12
ORD0051,2025-05-06,Neha,Desk,Furniture,6,210.54,North,1263.24
ORD0052,2025-11-10,Arjun,Backpack,Accessories,1,56.85,East,56.85
ORD0053,2025-03-10,Priya,Desk Chair,Furniture,5,129.23,South,646.15
ORD0054,2025-05-20,Ananya,Backpack,Accessories,5,56.15,South,280.75
ORD0055,2025-09-16,Aarav,Monitor,Electronics,8,171.04,East,1368.32
ORD0056,2025-05-22,Rahul,Mouse,Electronics,1,22.52,West,22.52
ORD0057,2025-08-15,Priya,Desk Chair,Furniture,7,141.71,South,991.97
ORD0058,2025-10-07,Meera,Mouse,Electronics,1,26.67,South,26.67
ORD0059,2025-08-09,Ananya,Backpack,Accessories,3,49.96,South,149.88
ORD0060,2025-04-18,Ananya,Laptop,Electronics,4,671.7,East,2686.8
ORD0061,2025-11-14,Sneha,Backpack,Accessories,3,59.68,West,179.04
ORD0063,2025-05-17,Priya,Notebook,Stationery,3,6.34,South,19.02
ORD0064,2025-08-29,Neha,Notebook,Stationery,4,5.64,North,22.56
ORD0065,2025-04-27,Sneha,Desk,Furniture,4,199.04,East,796.16
ORD0066,2025-05-23,Vikram,Notebook,Stationery,2,6.56,East,13.12
ORD0067,2025-12-14,Priya,Desk,Stationery,6,239.33,West,1435.98
ORD0068,2025-10-25,Meera,Desk Chair,Furniture,5,127.07,South,635.35
ORD0069,2025-06-10,Arjun,Notebook,Stationery,7,6.13,East,42.91
ORD0070,2025-10-23,Kiran,Mouse,Electronics,4,23.77,West,95.08
ORD0072,2025-12-06,Vikram,Headphones,Accessories,2,83.52,East,167.04
ORD0073,2025-12-08,Vikram,Backpack,Accessories,7,53.09,East,371.63
ORD0074,2025-04-09,Kiran,Backpack,Accessories,7,56.81,South,397.67
ORD0075,2025-07-27,Sneha,Keyboard,Electronics,1,43.23,East,43.23
ORD0076,2025-08-27,Sneha,Notebook,Stationery,8,5.93,East,47.44
ORD0078,2025-05-01,Sneha,Desk,Furniture,5,207.88,North,1039.4
ORD0079,2025-01-24,Meera,Keyboard,Electronics,4,49.36,North,197.44
ORD0080,2025-08-01,Kiran,Mouse,Electronics,4,26.09,West,104.36
ORD0081,2025-05-05,Aarav,Pen Set,Stationery,3,10.31,West,30.93
ORD0082,2025-04-23,Arjun,Mouse,Electronics,3,26.52,West,79.56
ORD0083,2025-10-13,Priya,Pen Set,Stationery,4,10.83,North,43.32
ORD0084,2025-08-26,Neha,Pen Set,Stationery,6,10.9,South,65.4
ORD0085,2025-10-08,Neha,Headphones,Accessories,8,86.36,West,690.88
ORD0086,2025-05-07,Arjun,Pen Set,Stationery,5,10.53,East,52.65
ORD0087,2025-05-21,Vikram,Pen Set,Stationery,8,9.15,South,73.2
ORD0088,2025-06-21,Priya,Monitor,Electronics,6,194.15,East,1164.9
ORD0089,2025-04-29,Sneha,Keyboard,Electronics,7,46.75,South,327.25
ORD0090,2025-07-28,Kiran,Mouse,Electronics,6,25.21,West,151.26
ORD0092,2025-09-02,Vikram,Laptop,Electronics,1,707.56,West,707.56
ORD0093,2025-10-03,Vikram,Notebook,Stationery,4,5.99,West,23.96
ORD0094,2025-01-15,Kiran,Notebook,Stationery,7,5.8,West,40.6
ORD0095,2025-03-07,Meera,Keyboard,Electronics,1,48.66,West,48.66
ORD0096,2025-02-12,Neha,Headphones,Accessories,7,74.17,North,519.19
ORD0097,2025-05-14,Neha,Keyboard,Electronics,7,43.45,North,304.15
ORD0098,2025-07-14,Kiran,Desk,Furniture,5,231.09,East,1155.45
ORD0099,2025-08-29,Aarav,Desk Chair,Furniture,1,146.97,North,146.97
ORD0100,2025-11-29,Aarav,Desk,Furniture,2,232.37,South,464.74
ORD0101,2025-04-13,Sneha,Laptop,Electronics,1,665.77,South,665.77
ORD0102,2025-12-09,Sneha,Keyboard,Electronics,2,45.58,West,91.16
ORD0103,2025-07-08,Priya,Pen Set,Stationery,3,10.21,East,30.63
ORD0105,2025-04-12,Sneha,Notebook,Stationery,2,6.11,West,12.22
ORD0106,2025-12-17,Meera,Mouse,Electronics,2,26.48,East,52.96
ORD0107,2025-09-30,Priya,Laptop,Electronics,7,671.0,East,4697.0
ORD0108,2025-01-07,Priya,Backpack,Accessories,7,58.55,East,409.85
ORD0109,2025-11-22,Kiran,Notebook,Stationery,8,6.25,East,50.0
ORD0110,2025-11-12,Meera,Keyboard,Electronics,8,44.68,East,357.44
ORD0111,2025-05-06,Neha,Desk Chair,Furniture,2,133.81,East,267.62
ORD0112,2025-10-19,Neha,Monitor,Electronics,7,174.11,West,1218.77
ORD0113,2025-09-07,Vikram,Desk,Furniture,4,213.61,South,854.44
ORD0114,2025-11-02,Arjun,Desk,Furniture,5,222.45,East,1112.25
ORD0115,2025-05-04,Sneha,Monitor,Electronics,7,179.59,North,1257.13
ORD0116,2025-08-18,Sneha,Pen Set,Stationery,1,9.19,West,9.19
ORD0117,2025-06-06,Arjun,Notebook,Stationery,6,5.97,South,35.82
ORD0118,2025-10-09,Neha,Desk,Furniture,6,213.48,West,1280.88
ORD0119,2025-05-09,Sneha,Desk Chair,Furniture,4,129.38,East,517.52
ORD0120,2025-10-02,Neha,Desk,Furniture,3,206.43,North,619.29
